product_name,original_data_column_1,original_data_column_2,supplier_article_number,ean,article_number,product_description,supplier,supplier_url,product_image_url,manufacturer,original_data_column_3
Gewebeklebeband 389,spezialanwendungen/wäscherei--/-chemische-reinigungszubehör/transport/-verpackung/klebeband-und-abroller,3M Gewebeklebeband 389 schwarz 50mmx50m (24),2101752,4046719647972,389S50,"äußerst vielseitig einsetzbar, gute Dauerhaltekraft, sehr
gute Klebkraft auf einer Vielzahl von Oberflächen, gutes
Anpassungsvermögen, leichtes Maskieren in Kurven, leichte
Handhabung, auch in Verbindung mit Feuchtigkeit zu
verwenden, engmaschiges Gewebe-Klebeband, Polyethylen
beschichtet, hervorragende Feuchtigkeitsbeständigkeit,
matte Oberfläche, gute Reißfestigkeit und Flexibilität,
geeignet zur farblichen Codierung von Bauteilen, für
allgemeine Reparaturzwecke sowie für die Bündelung von
Rohren, Stoffen u. v. m. Gummi-Harz Klebstoff,
temperaturbeständig bis 60°C, 0,26 mm dick, Breite 50 mm,
Farbe schwarz, Länge 50 m, 1 Rolle, (Krt à 24 Rll).",igefa Handelsgesellschaft,https://store.igefa.de/p/gewebeklebeband-389-3m-gewebeklebeband-389-schwarz-50mmx50m-24/ChcacSBUcEhahSKT3LGyCm,https://media.igefa.de/files/images_idealclean/2101752.jpg,3M,
Doppelseitiges Klebeband mit Gewebeträger 9191,spezialanwendungen/wäscherei--/-chemische-reinigungszubehör/transport/-verpackung/klebeband-und-abroller,weiß 50mmx25m,2101753,8000280457008,91915025,"ausgezeichnete Haftung, geeignet für rauhe und
strukturierte Untergründe, per Hand abreißbar, vielseitig
einsetzbares Verlegeband mit Träger, Hot-Melt Klebstoff,
zum Fixieren von Raumteppichen und Teppichplatten,
Papierschutzabdeckung, langfristig temperaturbeständig bis
60°C, 0,26 mm dick, Breite 50 mm, Farbe weiß, Länge 25 m, 1
Rolle, (Krt à 36 Rll).",igefa Handelsgesellschaft,https://store.igefa.de/p/doppelseitiges-klebeband-mit-gewebetraeger-9191-weiss-50mmx25m/CrQFHma96t4JFD4tJyxeTG,https://media.igefa.de/files/images_idealclean/2101753.jpg,3M,
Vermop Wäschenetz 20l,spezialanwendungen/wäscherei--/-chemische-reinigungszubehör/transport/-verpackung/wäschenetze/zubehör,Rot,2005387,4006533012325,1213002,"mit Kordel und Verschluß, geeignet für Waschtemperatur bis
60° C, zum Einhängen in Halterahmen, vor dem Einsatz
Wäschenetz 2- bis 3-Mal ungefüllt separat waschen, Bleichen
und Chemische Reinigung nicht erlaubt, nicht Bügeln, Breite
25 cm, Farbe rot, Länge 66 cm, Material 100 % Polyester, 1
Stück, (Krt à 10 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/vermop-waeschenetz-20l-rot/bQ5HCRgvF6Ms5XjmPuMcp6,https://media.igefa.de/files/images_idealclean/2005387.jpg,Vermop,
Vermop Wäschenetz 20l,spezialanwendungen/wäscherei--/-chemische-reinigungszubehör/transport/-verpackung/wäschenetze/zubehör,Blau,2005386,4006533012295,1213001,"mit Kordel und Verschluß, geeignet für Waschtemperatur bis
60° C, zum Einhängen in Halterahmen, vor dem Einsatz
Wäschenetz 2- bis 3-Mal ungefüllt separat waschen, Bleichen
und Chemische Reinigung nicht erlaubt, nicht Bügeln, Breite
25 cm, Farbe blau, Länge 66 cm, Material 100 % Polyester, 1
Stück, (Krt à 10 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/vermop-waeschenetz-20l-blau/LYTBw62vAbfoQd8n3C98VQ,https://media.igefa.de/files/images_idealclean/2005386.jpg,Vermop,
Ölbindevlies HP156,"spezialanwendungen/schmutzfangmatten-/-sicherheitsbodenbeläge/schutzfangmatten,-textil/schutzfangmatten,-textil",3M Tücher Typ156 48x43cm Ölbindevlies (100),2100667,,HP156,"Ölbindevlies - der Marke 3M, Ölbindevliese sind mit
saugstarken, gleichzeitig ölanziehenden (oleophilen) und
wasserabweisenden (hydrophoben) Eigenschaften ausgestattet,
diese Vliese eignen sich ideal zum Aufsaugen von Ölen und
Kraftstoffen in stehenden und fließenden Gewässern, bis 142
l (Aufnahmevolumen), Breite 43 cm, Länge 48 cm, 1 Stück,
(Krt à 100 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/oelbindevlies-hp156-3m-tuecher-typ156-48x43cm-oelbindevlies-100-oelbindevlies-der-marke-3m/AxtDsyGghKQyze6WyiDCYJ,https://media.igefa.de/files/images_idealclean/2100667.jpg,3M,
Haug Bürsten Eiskratzer,spezialanwendungen/kfz-bedarf/kfz-frostschutz/kfz-frostschutz,super Kratzeffekt,2081472,4002403000850,08501,"optimale Druckausübung durch ergonomische Griff-Fläche mit
Fingerschutz, super Kratzeffekt, ABS Kunststoff, Farbe rot,
Material ABS Kunststoff, 1 Stück, (Krt à 10 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/haug-buersten-eiskratzer-super-kratzeffekt/FNT6cxYygd4JKw4NVKyKgD,https://media.igefa.de/files/images_idealclean/2081472.jpg,Haug,
Vermop Abfallwagen,spezialanwendungen/wäscherei--/-chemische-reinigungszubehör/transport/-verpackung/wäschereitransport,Vermop  Abfallwagen Abfall-/Transportwagen verzinkt,1885151,4006533006164,10516,"Abfall-/Transportwagen, bestehend aus einem Grundgestell
verzinkt, ohne Halterahmen, inklusive 2 Räder Durchmesser
185 mm, daher treppengängig und bestens zum Transport von
Abfallsäcken geeignet, 1 Stück, (Krt à 4 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/vermop-abfallwagen-vermop-abfallwagen-abfall-transportwagen-verzinkt/DV8kWBxRfiSfJNJf9bAPzX,https://media.igefa.de/files/images_idealclean/1885151.jpg,Vermop,
C/R/O/ Color Plus Schmutzfangmatte 60 x 90 cm,"spezialanwendungen/schmutzfangmatten-/-sicherheitsbodenbeläge/schutzfangmatten,-textil/schutzfangmatten,-textil",Blau,2043897,,426002,"Modell Color Plus, Schmutz verbergende Oberflächenstruktur,
können auf jeden glatten Boden verlegt werden, melierte
Farbkombinationen, unter Berücksichtigung örtlicher
Gegebenheiten evtl. Festverlegung, auf der Rückseite
gekennzeichnete Laufrichtung ist zu beachten, Breite 60 cm,
Farbe blau, Grammatur 3.750 g/m², Herstellungsart Tufting-
Velours 5/32’’, Höhe 10 mm, Länge 90 cm, Material der
Nutzschicht 100 % Polyamid (6), Noppenzahl ca. 85.500/m²,
Poleinsatzgewicht 920 g/m², Rückenausstattung
Schwerbeschichtung, Trägermaterial 100 % Polyester, 1 Stück,
(Krt à 6 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/c-r-o-color-plus-schmutzfangmatte-60-x-90-cm-blau-modell-color-plus/ajg7D8Md2HdLGStZSg8Dkb,https://media.igefa.de/files/images_idealclean/2043897.jpg,emco Bautechnik,
Vermop Meditrans-Entsorgungswagen mit Deckel und Pedal,spezialanwendungen/wäscherei--/-chemische-reinigungszubehör/transport/-verpackung/wäschereitransport,2-fach,8014327,4006533055261,10642802,"belastbar, leicht zu reinigen, mit gummibezogener
Einspannöffnung, verchromte Ausführung in stabiler
Stahlrohr-Technik, variables Baukastensystem mit Deckel und
Pedal, Modell 2-fach, 1 Stück.",igefa Handelsgesellschaft,https://store.igefa.de/p/vermop-meditrans-entsorgungswagen-mit-deckel-und-pedal-2-fach/Vt9G6DVTGRKcvxU9eV7SkU,https://media.igefa.de/files/images_idealclean/8014327.jpg,Vermop,
C/R/O/ Color Plus Schmutzfangmatte 40 x 60 cm,"spezialanwendungen/schmutzfangmatten-/-sicherheitsbodenbeläge/schutzfangmatten,-textil/schutzfangmatten,-textil",Anthrazit,2043894,,424003,"Modell Color Plus, Schmutz verbergende Oberflächenstruktur,
können auf jeden glatten Boden verlegt werden, melierte
Farbkombinationen, unter Berücksichtigung örtlicher
Gegebenheiten evtl. Festverlegung, auf der Rückseite
gekennzeichnete Laufrichtung ist zu beachten, Breite 40 cm,
Farbe anthrazit, Grammatur 3.750 g/m², Herstellungsart
Tufting-Velours 5/32’’, Höhe 10 mm, Länge 60 cm, Material
der Nutzschicht 100 % Polyamid (6), Noppenzahl ca.
85.500/m², Poleinsatzgewicht 920 g/m², Rückenausstattung
Schwerbeschichtung, Trägermaterial 100 % Polyester, 1 Stück,
(Krt à 10 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/c-r-o-color-plus-schmutzfangmatte-40-x-60-cm-anthrazit-modell-color-plus/x3CT2CZ2HtwoBnyAT5U9Re,https://media.igefa.de/files/images_idealclean/2043894.jpg,emco Bautechnik,
