product_name,original_data_column_1,original_data_column_2,supplier_article_number,ean,article_number,product_description,supplier,supplier_url,product_image_url,manufacturer,original_data_column_3
Duni Menübox eckig weiß,gastronomiebedarf/einweg-schalen-und-verpackungsbecher/einweg-menüschale-und-deckel-nachhaltig/einweg-menüschale-und-deckel-nachhaltig,Ungeteilt 1100 ml 235 x 223 x 75 mm,2173652,4388860471625,8021401,"Foodbox aus Zuckerrohr, kompostierbar, mit anhängendem
Deckel, fett-, öl- und säurebeständig, tiefkühl- und
mikrowellengeeignet, hitzebeständig bis mind. 100° C,
Abmessung 235 x 223 x 75 mm, Farbe weiß, Fassungsvermögen
1100 ml, eckig, Material Bagasse, Öko-Label Keimling Logo
kompostierbar, Teilung ungeteilt, 1 Beutel à 50 Stk, (Krt à
4 Btl).",igefa Handelsgesellschaft,https://store.igefa.de/p/duni-menuebox-eckig-weiss-ungeteilt-1100-ml-235-x-223-x-75-mm/jXh9cC3PysXRXz36mMBwXA,https://media.igefa.de/files/images_idealclean/2173652.jpg,Diverse Hersteller,
Frischhaltefolie 300 m 10 my,gastronomiebedarf/einweg-folien-und-papiere/frischhaltefolie-pe/frischhaltefolie-pe-ohne-box,30 cm,2035761,4024009022159,2035761,"Der unentbehrliche Helfer in der Küche und Gastronomie. Undurchlässig gegenüber Luft, Gas und Wasserdampf, Die Frischhaltefolie ist generell für alle Lebensmittel geeignet.",igefa Handelsgesellschaft,https://store.igefa.de/p/frischhaltefolie-300-m-10-my-30-cm/jBRwjxCtgLCxQdf9qFcvn9,https://media.igefa.de/files/images_idealclean/2035761.jpg,Diverse Hersteller,gut haftend; hohe Dehnbarkeit; sehr guter Aromaschutz; enthält keine Weichmacher; kältebeständig & tiefkühlgeeignet
Aluminium-Folie 150 m,gastronomiebedarf/einweg-folien-und-papiere/alu-folie/alu-folie-ohne-box,30 cm 11 my,2035764,,ig2035764,"Die Starline Aluminiumfolie eignet sich ideal zum Braten, Dünsten, Backen, Grillen und dem Frischhalten von Lebensmitteln. Formstabile Alufolie, daher auch ideal zum Abdecken, Frischhalten, Verpacken und Einfrieren geeignet.",igefa Handelsgesellschaft,https://store.igefa.de/p/aluminium-folie-150-m-30-cm-11-my/viQuj7jGc7FXv656oQU3MD,https://media.igefa.de/files/images_idealclean/2035764.jpg,Diverse Hersteller,hohe Reißfestigkeit; 100% lebensmittelecht; sehr gut isolierende Wirkung; geruchs- & geschmacksneutral; hitzebeständig & flüssigkeitsdicht
Frischhaltefolie 300 m 9 my,gastronomiebedarf/einweg-folien-und-papiere/frischhaltefolie-pvc/frischhaltefolie-pvc-ohne-box,45 cm,2075159,4024009022272,2075159,"Der unentbehrliche Helfer in der Küche und Gastronomie. Undurchlässig gegenüber Luft, Gas und Wasserdampf,",igefa Handelsgesellschaft,https://store.igefa.de/p/frischhaltefolie-300-m-9-my-45-cm/mtUfezLwGVqFWNf3dnQBBg,https://media.igefa.de/files/images_idealclean/2075159.jpg,Diverse Hersteller,sehr gut haftend; hohe Dehnbarkeit; kältebeständig & tiefkühlgeeignet
Tork Xpressnap® Spenderserviette Interfold 1-lagig - hochweiß,gastronomiebedarf/einweg-tabletop/einweg-spenderserviette/einweg-spenderserviette,Tork Universal Serviette 22x33,2083194,7322540539844,10840,"Universal-Papierserviette, sparsamer Verbrauch dank
Interfold Falzung, hygienische Unterverpackung im
Polybeutel, passend für Interfold Spendersystem N4,
Beschichtung NEIN, Breite 21,6 cm, Farbe hochweiß, 1-lagig,
Länge 33 cm, Material Zellstoff, Öko-Label EU Ecolabel
(Euro-Blume), 1 Karton à 8 x 5 x 225 Stk.",igefa Handelsgesellschaft,https://store.igefa.de/p/tork-xpressnap-spenderserviette-interfold-1-lagig-hochweiss-tork-universal-serviette-22x33/mmHdD8MVxvHkk3ExT4VsEk,https://media.igefa.de/files/images_idealclean/2083194.jpg,Tork,
Backpapier,gastronomiebedarf/einweg-folien-und-papiere/backpapier/backpapier-und-kochpergament,Braun,2108345,4014100512864,452510,Das Backtrennpapier in braun ist mikrowellengeeignet und fettabweisend.,igefa Handelsgesellschaft,https://store.igefa.de/p/backpapier-braun/F7VurBZwznFzNxzPTseYCY,https://media.igefa.de/files/images_idealclean/2108345.jpg,Diverse Hersteller,"beidseitig silikonisiert; kein Anbacken der Produkte; mikrowellengeeignet, fett- & wasserabweisend; das Backtrennpapier ist hitzebeständig bis 220° C"
Dr.Burchard's Brennpaste,gastronomiebedarf/einweg--und-service-verpackung-sonstige/brennmittel/brennmittel,Dr.Burchards Brennpaste 200 g Zum Warmhalten von Speisen in Speisewärmern vorgesehen 1 Dose,2104667,4009864168501,6850,"Die Brennpaste auf Ethanolbasis ist zum Warmhalten von Speisen in Speisewärmern vorgesehen. Der sauber brennende Brennstoff ist nur für den
industriellen und institutionellen Gebrauch bestimmt.",igefa Handelsgesellschaft,https://store.igefa.de/p/dr-burchard-s-brennpaste-dr-burchards-brennpaste-200-g-zum-warmhalten-von-speisen-in-speisewaermern-vorgesehen-1-dose/6B3wD7wZoSWGjpU5Eqb5pZ,https://media.igefa.de/files/images_idealclean/2104667.jpg,Diverse Hersteller,"rußfrei; geruchlos; Brenndauer ca. 2,5 Stunden"
Siegelrandbeutel transparent,gastronomiebedarf/einweg-tragetaschen-und-beutel/siegelrandbeutel-und-schrumpfbeutel/siegelrandbeutel-und-schrumpfbeutel,300 mm x 400 mm,2045524,4014461098182,SR11276,"Siegelrand-/Vakuumbeutel, 3-seitig gesiegelt,
temperaturbeständig von -50° bis +90° C, bestehend aus
einer 2-lagigen Folie Polyamid (PA) 20 my und Polyethylen
(PE) 70 my, zum Vakuumieren von Lebensmitteln geeignet,
Breite 300 mm, Farbe transparent, Folienstärke 90 my, Länge
400 mm, 1 Karton à 1000 Stk.",igefa Handelsgesellschaft,https://store.igefa.de/p/siegelrandbeutel-transparent-300-mm-x-400-mm-siegelrand-vakuumbeutel-3-seitig-gesiegelt/Du6oGVNacgMEuMGqxmBT2Z,https://media.igefa.de/files/images_idealclean/2045524.jpg,Diverse Hersteller,
Backtrennpapier,gastronomiebedarf/einweg-folien-und-papiere/backpapier/backpapier-und-kochpergament,45 cm x 50 m,2081624,,21C32/21C76,Ein umweltfreundliche wiederverwendbares Backpapier welches zum Kochen und Braten geeignet ist. Das Backpapier besitzt zudem eine hervorragende Hitzebeständigkeit.,igefa Handelsgesellschaft,https://store.igefa.de/p/backtrennpapier-45-cm-x-50-m/vuk82Au9pQHVC6k6A7uFsc,https://media.igefa.de/files/images_idealclean/2081624.jpg,Diverse Hersteller,ungebleicht; mikrowellengeeignet; fett- & wasserabweisend; kein Anbacken der Produkte; beidseitig silikonisiertes Cellulosepapier
Duni 24 x 24 cm 3-lagig 1/4-Falz - Uni,gastronomiebedarf/einweg-tabletop/einweg-serviette-classic/einweg-serviette-classic,"Granite grey FSC®, Nordic Swan, OK compost Home",5006854,7321011684021,168402,"Zelltuch Cocktailserviette, Zelltuch entsteht auf Basis von
Zellulose und hat bis zu 20 % Recyclinganteil, das Material
ist 100 % chlorfrei gebleicht und kann vollständig recycelt
werden, die Druckfarben sind lebensmittelrechtlich
zugelassen, auf Wasserbasis und lösungsmittelfrei, Breite
24 cm, Falzung 1/4-Falz, Farbe granite grey, 3-lagig, Länge
24 cm, Material Zelltuch, Öko-Label FSC®, Nordic Swan, OK
compost Home, 1 Packung à 250 Stk, (Krt à 8 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/duni-24-x-24-cm-3-lagig-1-4-falz-uni-granite-grey-fsc-nordic-swan-ok-compost-home/rUaWGjN2n6Vh4YXYN4BJcA,https://media.igefa.de/files/images_idealclean/5006854.jpg,Duni,
