product_name,original_data_column_1,original_data_column_2,supplier_article_number,ean,article_number,product_description,supplier,supplier_url,product_image_url,manufacturer,original_data_column_3
Meiko Feuchtwischmop,mobile-reinigung/feuchtwischsysteme/bezüge/bezüge,80 cm,2054951,4006737603251,951780-000-5,"100 % Baumwolle, mit Taschen, gute Feuchtigkeitsaufnahme,
sehr gutes Staubbindevemögen, zu Trockemmoppen oder auch
feucht anwendbar, waschbar, Arbeitsbreite 80 cm, Material
70 % Baumwolle / 30 % Polyester, 1 Stück, (Krt à 25 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/meiko-feuchtwischmop-80-cm/iT286xs8bR66S6KFYn7ErX,https://media.igefa.de/files/images_idealclean/2054951.jpg,Meiko Textil,
Vermop Sprint Mop Classic,mobile-reinigung/feuchtwischsysteme/bezüge/bezüge,40 cm,1887071,4006533023079,14584,"Schlinge/Franse, Polyester-Baumwollmischung mit besonders
dichtem Besatz, getuftet, für alle Bereiche geeignet,
Arbeitsbreite 40 cm, Material 100 % Polyester, Material
Flor 65 % Polyester / 35 % Baumwolle, 1 Stück, (Krt à 50
Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/vermop-sprint-mop-classic-40-cm/VyGeHrgn39bSFGBQNLTBeL,https://media.igefa.de/files/images_idealclean/1887071.jpg,Vermop,
Vermop Feuchtwisch-Halter,mobile-reinigung/halter/halter/halter,80 cm,1882281,4006533003507,10083,"verzinkte Ausführung, längenverstellbar und abklappbar,
integriertes S-Gelenk für universelle Feuchtreinigung aller
gering verschmutzter Bodenflächen, Arbeitsbreite 80 cm, 1
Stück, (Krt à 5 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/vermop-feuchtwisch-halter-80-cm/oWDqiogBBPGvXc69Bnw8sL,https://media.igefa.de/files/images_idealclean/1882281.jpg,Vermop,
Taski SUM Primed Mop,mobile-reinigung/trockenwischsysteme/bezüge/bezüge,25Stk,2176858,7615400795222,D7524714,"Premium - Einweg - Mop, mit Chemikalien imprägniert und
getrocknet, effektives Entfernen von Bakterien,
hervorragende Staub- und Schmutzaufnahme, keine Wäsche
notwendig, hochwertig, hervorragende Reinigungsleistung der
Mikrofaser, einfach Wasser hinzufügen – keine Chemikalien
vor Ort, Hygienesicherheit, hhervorragende Flächenleistung,
einfache und kosteneffiziente Logistik, ideal für Kunden
mit kleinen Flächen, Arbeitsbreite 40 cm, Farbe weiß,
Material 100 % Polyester, 1 Packung à 25 Stk.",igefa Handelsgesellschaft,https://store.igefa.de/p/taski-sum-primed-mop-25stk-premium-einweg-mop/JJYVXWbyDu4hfQbu2b32ZF,https://media.igefa.de/files/images_idealclean/2176858.jpg,Diversey,
Vileda Mopbezug Tuftmop Schlinge/Franse,mobile-reinigung/nasswischsysteme/bezüge/bezüge,40 cm,2101127,4023103175938,143226/143192,"Universal-Taschenmopbezug für Flachwischsysteme, für gute
Reinigungsleistung, Wasseraufnahme und Haltbarkeit,
einfaches Auswaschen, für alle Bodenarten, mit dem
Farbcodierungssystem kann der Reinigungsprozess
entsprechend der Hygieneanforderungen angewendet werden,
für normal verschmutzte Bereiche, für Unterhaltsreinigung,
geeignet für feuchte und nasse sowie desinfizierende
Bodenreinigung, maximale Waschtemperatur 95° C, Trockner
geeignet, Arbeitsbreite 40 cm, Farbe weiß, Material 100 %
Polyester, Material Flor 70 % Baumwolle / 25 % Polyester /
5 % Viskose (Fransen), 1 Stück, (Krt à 20 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/vileda-mopbezug-tuftmop-schlinge-franse-40-cm/9kcSiQeAcvzgX8UQabX2VL,https://media.igefa.de/files/images_idealclean/2101127.jpg,Vileda,
Ecolab Stielhalterclip,mobile-reinigung/systemwagen/systemwagen/systemwagen,ECOLAB Floordress Stielhalterclip grau für Mobilette Vario maxx für Mobilette Vario maxx,2066945,4028159059256,10105030,"für Mobilette Vario maxx, Farbe grau, 1 Stück.",igefa Handelsgesellschaft,https://store.igefa.de/p/ecolab-stielhalterclip-ecolab-floordress-stielhalterclip-grau-fuer-mobilette-vario-maxx-fuer-mobilette-vario-maxx/QJpTTVXNiUdYuSwRMTQ5dP,https://media.igefa.de/files/images_idealclean/2066945.jpg,Ecolab,
Ecolab Rasantec®,mobile-reinigung/feuchtwischsysteme/bezüge/bezüge,Mono Star,2047138,4028159077120,10000001,,igefa Handelsgesellschaft,https://store.igefa.de/p/ecolab-rasantec-mono-star/6NdmJyGcRFpwnYUcLWR39n,https://media.igefa.de/files/images_idealclean/2047138.jpg,Ecolab,hohe Wasseraufnahme; Mikrofaserlippen außen; eingenähtes Wasserdepot; vollflächiger Mikrofaservelours innen
Vileda BaseLoop Mop,mobile-reinigung/nasswischsysteme/bezüge/bezüge,40 cm,2125518,4023103193970,151069/151060,"Taschenmop für Flachwischsysteme, Klassisch gestrickter Mop
mit guter Reinigungsleistung, Wasseraufnahmefähigkeit und
Haltbarkeit, verstärktes Rückenmaterial, das bessere
Stabilität unter dem Halter bietet, leicht auswaschbar max.
Waschtemperatur: 95°C, Trockner geeignet, für alle Böden,
optimal für normale Verschmutzungen, für Feucht- und
Nassreinigung von Böden, Arbeitsbreite 40 cm, Farbe blau,
Material 100 % Polyester (Rücken), Material Flor 80 %
Polyester / 20 % Polyamid, 1 Stück, (Krt à 100 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/vileda-baseloop-mop-40-cm/n9gyoMCcbhLU4D5d59JYZB,https://media.igefa.de/files/images_idealclean/2125518.jpg,Vileda,
Vermop Feuchtwischmop Basic,mobile-reinigung/feuchtwischsysteme/bezüge/bezüge,80 cm,2024325,4006533024076,14698,"mit Tasche, Standardqualität aus Polyester/Baumwollmischung,
wird ungewaschen ausgeliefert, ist mit anderen Sorten
waschbar, sofern diese nicht ausfärben etc. muss vor dem
ersten Einsatz bei 95 °C gewaschen werden, damit er auf
Haltergröße schrumpft und das Garn die optimale
Saugfähigkeit erreicht, Arbeitsbreite 80 cm, Material 67 %
Polyester / 33 % Baumwolle, 1 Stück, (Krt à 20 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/vermop-feuchtwischmop-basic-80-cm/ZLJMzRJNiutZeWBFDRFEqB,https://media.igefa.de/files/images_idealclean/2024325.jpg,Vermop,
Ecolab Teleskopstiel,mobile-reinigung/stiele/stiele/stiele,ECOLAB Floordress Teleskopstiel 85-143 cm Passend für alle handelsüblichen Reinigungsgeräte 1 Stück,2031957,4000516039019,10000298,"Der ECOLAB Floordress Teleskopstiel ist das universell einsetzbare Arbeitsgerät für die Reinigung der Böden. Stufenlos höhenverstellbar wird der Teleskopstiel leicht auf eine Länge zwischen 85 und 143 cm eingestellt. Mit der jeweils angepassten
Länge gewährleistet das Gerät von ECOLAB ergonomisches Arbeiten. Für die mobile Reinigung in Gebäuden, öffentlichen Einrichtungen und Büros ist der Floordress Teleskopstiel die perfekte Lösung.",igefa Handelsgesellschaft,https://store.igefa.de/p/ecolab-teleskopstiel-ecolab-floordress-teleskopstiel-85-143-cm-passend-fuer-alle-handelsueblichen-reinigungsgeraete-1-stueck/TUTgwqCZqjN8JSYUHzeejB,https://media.igefa.de/files/images_idealclean/2031957.jpg,Ecolab,korrosionsfrei; universell einsetzbar; links & rechts arretierbar; leichte Führung mit der Hand
