product_name,original_data_column_1,original_data_column_2,supplier_article_number,ean,article_number,product_description,supplier,supplier_url,product_image_url,manufacturer,original_data_column_3
Augenspülstation DUO mit 1 Flasche,arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-augenspülung,Plum Augenspülstation Duo mit Wandhalter + 1l Fla,2126109,5715205480216,4802,"Wandstation, Spülzeit ca. 5 Minuten je Auge, besteht aus 1
x 1,0 l Augenspülflasche DUO (0,9 % Natriumchloridlösung),
ausgestattet mit Augenaufsatz zum gleichzeitigen Spülen
beider Augen, inclusive Wandhalterung, beiliegenden
Piktogramm und Spiegel, Abmessung 60 x 180 x 300 mm, 1
Stück.",igefa Handelsgesellschaft,https://store.igefa.de/p/augenspuelstation-duo-mit-1-flasche-plum-augenspuelstation-duo-mit-wandhalter-1l-fla/HxHdZ5FoC2fzAjPAJn8MPH,https://media.igefa.de/files/images_idealclean/2126109.jpg,Plum,
Gürteltasche (4692),arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-augenspülung,Plum Gürteltasche (10) für 200ml Augenspülflaschen,2043074,5715205469211,4692,"für 200 ml Plum Augenspülflaschen, die praktische Tasche
ist mit einem Klettverschluss ausgerüstet, kann am Gürtel
befestigt werden und schützt die Augenspülflaschen sicher
vor äußeren Verschmutzungen, Material 100 %
Polyvinylchlorid, 1 Stück, (Krt à 10 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/guerteltasche-4692-plum-guerteltasche-10-fuer-200ml-augenspuelflaschen/WqotoahJuCXTZQzNpTihbc,https://media.igefa.de/files/images/2043074.jpg,Plum,
QuickRinse Augenspülampullen,arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-augenspülung,Plum QuickRinse 5x20ml (4) Augenspül-Amp steril,2111646,5715205516021,5160,"Sterile Augenspülampulle zum Ausspülen von Staub und
Schmutz (steril), enthält 0,9 % Natriumchloridlösung,
welche dem natürlichen Salzgehalt des Auges entspricht, für
die Nachfüllung der QuickSafe Box und für den Einzeleinsatz,
1 Packung à 5 x 20 ml, (Krt à 4 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/quickrinse-augenspuelampullen-plum-quickrinse-5x20ml-4-augenspuel-amp-steril/CYE6dW4Gr5FXnuQ2Bfsut6,https://media.igefa.de/files/images_idealclean/2111646.jpg,Plum,
Augen-Notfallstation Duo (4810),arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-augenspülung,Anleitungstafel+Spiegel,2100044,5715205481015,4810,"staubdichte Wandbox, besonders für den Einsatz an
Arbeitsplätzen geeignet wo Säuren und Alkali sowie
Fremdkörper in das Auge gelangen können, im Erste-Hilfe-
Fall sehr leicht und schnell zu öffnen, Lieferung inkl. 1 x
500 ml pH Neutral Duo und 1 x 1.000 ml Plum Augen-
spüllösung Duo und Spiegel, Spülzeit ca. 7 Minuten, 1 Stück.",igefa Handelsgesellschaft,https://store.igefa.de/p/augen-notfallstation-duo-4810-anleitungstafel-spiegel/xq9c65zjiNWftuNWLUgcDS,https://media.igefa.de/files/images_idealclean/2100044.jpg,Plum,
Wund- und Augenspray,arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-augenspülung,Plum Wund-/Augenspray 50ml,2180591,5715205723429,45530,"schnelle Erste-Hilfe innerhalb von Sekunden - für Haut und
Augen!, bietet Ihnen schnelle Hilfe bei der Versorgung
kleinerer Wunden wie Kratzer und Schnitte auf der Haut oder
Staub und Schmutz im Auge, dabei hilft es Ihnen, das Risiko
für Infektionen oder Folgeschäden zu minimieren, 1 Dose à
50 ml, (Krt à 24 Dos).",igefa Handelsgesellschaft,https://store.igefa.de/p/wund-und-augenspray-plum-wund-augenspray-50ml/tTxbKFHPfQnHhmiT4dqgbT,https://media.igefa.de/files/images_idealclean/2180591.jpg,Plum,
"Augenspülflaschen (0,9% Natriumchloridlösung)",arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-augenspülung,Plum Augenspülflasche 1l,2127811,5715205470712,4707,"Augenspüllösung bei Fremdkörpern (steril), gebrauchsfertig,
zum Ausspülen von Fremdkörpern (z. B. Schmutz, Staub,
Metall- und Holzsplitter), in zwei verschiedenen Größen
lieferbar, enhalten sterile Natriumchloridlösung (0,9%),
die dem natürlichen Salzgehalt des Auges entspricht, 500 ml
Flaschengröße für den Einzeleinsatz und für die Nachfüllung
der Plum Augenspülstationen, 200 ml Flaschengröße für den
mobilen Einsatz (z. B. im Auto, Tragen am Körper) und auch
für Erste-Hilfe Kästen, beide Flaschengrößen sind mit einer
ergonomisch geformten Augenschale ausgestattet, Flaschen
gemäß DIN EN15154-4, Haltbarkeit drei Jahre, Spülzeit 500
ml Flasche ca. 5 Minuten, Spülzeit 200 ml Flasche ca. 2
Minuten, 1 Flasche à 1 Ltr, (Krt à 6 Fla).",igefa Handelsgesellschaft,https://store.igefa.de/p/augenspuelflaschen-0-9-natriumchloridloesung-plum-augenspuelflasche-1l/RMu9hS6NuXR98fPwCQdqnQ,https://media.igefa.de/files/images_idealclean/2127811.jpg,Plum,
Wandhalterung,arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-augenspülung,Plum Wandhalterung weiß (24) für 250ml Wund-/Augenspray,2180590,5715205412316,4123,"für 250 ml Wund- und Augenspray, Farbe weiß, Material
Kunststoff, 1 Stück, (Krt à 24 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/wandhalterung-plum-wandhalterung-weiss-24-fuer-250ml-wund-augenspray/wwf96BzUjP9e4Kv852GBSX,https://media.igefa.de/files/images_idealclean/2180590.jpg,Plum,
Sicherheits- / Rettungstuch,"arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-rettungsdecke,--trage-und--gurt",Sicherheits-/Räumungstragetuch,2093511,7110932649826,0930 032,"id-MED Sicherheits- und Räumungstuch, funktionsfähig mit
allen Bettenmodellen, funktionsfähig mit allen vorhandenen
Pflegematratzen, sichere Bedienung durch eine Person, keine
Beeinträchtigung der Funktionen durch vorhandene A-D
Auflagen, funktioniert mit einteiligen und dreiteiligen
Matratzensystemen, gleitfähig auf allen festen Unterlagen
und trockenen bzw. nassen Böden, sichere Fixierung des
Patienten, nahtlos einfügbar in Ihr betriebliches Konzept,
für eine schnelle Evakuierung von Patienten und / oder
Heimbewohnern, vor allem bei pflegeintensiven bzw.
bettlägerigen / nicht gehfähigen Personen geignet,
belastbar bis 200 kg, flammsicheres Material nach DIN EU
4102 B1, waschbar bis 80° C und desinfizierbar, Breite 85
cm, Länge 195 cm, Material 100 % Polyamid, Öko-Label OEKO-
TEX® STANDARD 100, 1 Stück, (Krt à 45 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/sicherheits-rettungstuch-sicherheits-raeumungstragetuch/yk3GqKeV7x4tj2BrR3ynbH,https://media.igefa.de/files/images_idealclean/2093511.jpg,Diverse Hersteller,
Combibox Duo,arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-augenspülung,und pH neutral Duo 500ml+500ml,2162673,5715205486218,4862,"Augenspüllösung bei Fremdkörpern und Verätzungsgefahr
(steril), Duo Ausführung ist ein Augenaufsatz zum
gleichzeitigen Spülen beider Augen, zur Anwendung als Erste-
Hilfe Maßnahme für die Spülung der Augen vorgesehen, mit
einer ergonomisch geformten Augenschale ausgestattet und
ermöglicht einen gleichmäßigen und weichen Sprühstrahl,
Flasche soll beim Spülvorgang leicht zusammendrücken, zum
Entfernen bzw. Herausspülen von Fremdkörpern bei
mechanischen Verletzungen, verursacht z.Bsp. durch Metall-
und Holzsplitter, Schmutz, Staub, sowie auch Chemikalien
(z. B Öle und Lösemittel) wird 0,9 % Natriumchloridlösung
eingesetzt, bei Verätzungsgefahr durch Säuren und Alkali
wird sterile Phosphatpufferlösung 4,9 % eingesetzt, schnell
und leicht mit nur zwei Handgriffen zu verwenden und
dadurch auch ohnefremde Hilfe von dem Verletzten selbst zu
bedienen, 1 Stück.",igefa Handelsgesellschaft,https://store.igefa.de/p/combibox-duo-und-ph-neutral-duo-500ml-500ml/iFEmAbCydjkCoewKESgnTc,https://media.igefa.de/files/images_idealclean/2162673.jpg,Plum,
Augenspülstation DUO in Wandbox,arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-augenspülung,Plum Augen-Notfallstation Duo in Wandbox + Spiegel 2x1l,2126111,5715205481619,4816,"Wandstation, besonders für den Einsatz an Arbeitsplätzen
geeignet, wo Fremdkörper in das Auge gelangen können, die
Flaschen werden sicher vor Staub und Schmutz geschützt,
Spülzeit ca. 10 Minuten je Auge, besteht aus 2 x 1000 ml
Augenspülflasche DUO, 1 x staubgeschützte Wandbox,
inclusive Befestigungsmaterial und Spiegel, 1 Stück.",igefa Handelsgesellschaft,https://store.igefa.de/p/augenspuelstation-duo-in-wandbox-plum-augen-notfallstation-duo-in-wandbox-spiegel-2x1l/2dHp4uaNL44P97tYRgJn85,https://media.igefa.de/files/images_idealclean/2126111.jpg,Plum,
"Augenspülflasche Duo (0,9% Natriumchloridlösung)",arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-augenspülung,Duo-Flasche DIN EN 15154-4,2097491,5715205480025,4800,"Augenspüllösung bei Fremdkörpern (steril), gebrauchsfertig,
Spüllösung zum Ausspülen von Fremdkörpern (z. B. Schmutz,
Staub, Metall- und Holzsplitter), enhalten sterile
Natriumchloridlösung (0,9%), die dem natürlichen Salzgehalt
des Auges entsprechen, für den Einzeleinsatz und für die
Nachfüllung der Plum Augenspülstationen auch Duo geeignet,
sowohl für den mobilen Einsatz (z. B. im Auto, Tragen am
Körper) und auch für Erste-Hilfe Kästen, mit einer
ergonomisch geformten Augenschale ausgestattet, Flaschen
gemäß DIN EN15154-4, Haltbarkeit drei Jahre, Spülzeit 1000
ml Flasche ca. 5 Minuten / 500 ml Flasche ca. 2 Minuten, 1
Flasche à 1 Ltr, (Krt à 6 Fla).",igefa Handelsgesellschaft,https://store.igefa.de/p/augenspuelflasche-duo-0-9-natriumchloridloesung-duo-flasche-din-en-15154-4/9UXyg9iHzzKnvnAMNfNXQE,https://media.igefa.de/files/images_idealclean/2097491.jpg,Plum,
